Timestamp,Name,Value
2.766111,"NT:/CameraPublisher/USB Camera 0/Property/power_line_frequency",1
2.711961,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_brightness/min",-64
2.77929,"NT:/CameraPublisher/USB Camera 0/RawPropertyInfo/raw_sharpness/max",15
2.780561,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/exposure_auto/choices",";Manual Mode;;Aperture Priority Mode"
2.834509,"NT:/SmartDashboard/Drivetrain/Alignment/Fusion RC",0.3
3.541755,"NT:/SmartDashboard/Drivetrain/Alignment/Speed/Tuning PD",false
2.765535,"NT:/CameraPublisher/USB Camera 0/RawProperty/raw_gain",0
2.728991,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/brightness/min",0
2.391665,"NT:/SmartDashboard/Shooter/Target RPM",0
2.858756,"NT:/SmartDashboard/Drivetrain/Alignment/Speed/Output Filter",0.1
2.783601,"NT:/CameraPublisher/USB Camera 0/connected",true
3.541272,"NT:/SmartDashboard/Drivetrain/Alignment/Angle/D",0.0034
2.783336,"NT:/CameraPublisher/USB Camera 0/modes","640x480 YUYV 30 fps;640x480 YUYV 25 fps;640x480 YUYV 20 fps;640x480 YUYV 15 fps;640x480 YUYV 10 fps;640x480 YUYV 5 fps;352x288 YUYV 30 fps;352x288 YUYV 25 fps;352x288 YUYV 20 fps;352x288 YUYV 15 fps;352x288 YUYV 10 fps;352x288 YUYV 5 fps;320x240 YUYV 30 fps;320x240 YUYV 25 fps;320x240 YUYV 20 fps;320x240 YUYV 15 fps;320x240 YUYV 10 fps;320x240 YUYV 5 fps;176x144 YUYV 30 fps;176x144 YUYV 25 fps;176x144 YUYV 20 fps;176x144 YUYV 15 fps;176x144 YUYV 10 fps;176x144 YUYV 5 fps;160x120 YUYV 30 fps;160x120 YUYV 25 fps;160x120 YUYV 20 fps;160x120 YUYV 15 fps;160x120 YUYV 10 fps;160x120 YUYV 5 fps;640x480 MJPEG 30 fps;640x480 MJPEG 25 fps;640x480 MJPEG 20 fps;640x480 MJPEG 15 fps;640x480 MJPEG 10 fps;640x480 MJPEG 5 fps;352x288 MJPEG 30 fps;352x288 MJPEG 25 fps;352x288 MJPEG 20 fps;352x288 MJPEG 15 fps;352x288 MJPEG 10 fps;352x288 MJPEG 5 fps;320x240 MJPEG 30 fps;320x240 MJPEG 25 fps;320x240 MJPEG 20 fps;320x240 MJPEG 15 fps;320x240 MJPEG 10 fps;320x240 MJPEG 5 fps;176x144 MJPEG 30 fps;176x144 MJPEG 25 fps;176x144 MJPEG 20 fps;176x144 MJPEG 15 fps;176x144 MJPEG 10 fps;176x144 MJPEG 5 fps;160x120 MJPEG 30 fps;160x120 MJPEG 25 fps;160x120 MJPEG 20 fps;160x120 MJPEG 15 fps;160x120 MJPEG 10 fps;160x120 MJPEG 5 fps"
2.755499,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/contrast/step",1
3.541262,"NT:/SmartDashboard/Drivetrain/Alignment/Angle/I",0
2.766163,"NT:/CameraPublisher/USB Camera 0/PropertyInfo/power_line_frequency/min",0
